identifier_name,filepath,line_number,start_index,end_index,violation_list
self,basic_examples/python_objects.py,5,33,37,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,5,38,41,Number of Words;Short Identifier Name
__init__,basic_examples/python_objects.py,7,6,14,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,7,15,19,Number of Words;Short Identifier Name
kwargs,basic_examples/python_objects.py,7,23,29,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,8,4,8,Number of Words;Short Identifier Name
text,basic_examples/python_objects.py,8,9,13,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,9,4,8,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,9,9,12,Number of Words;Short Identifier Name
kwargs,basic_examples/python_objects.py,10,7,13,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,11,6,10,Number of Words;Short Identifier Name
text,basic_examples/python_objects.py,11,11,15,Number of Words;Short Identifier Name
kwargs,basic_examples/python_objects.py,11,18,24,Number of Words;Short Identifier Name
kwargs,basic_examples/python_objects.py,12,7,13,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,13,6,10,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,13,11,14,Number of Words;Short Identifier Name
kwargs,basic_examples/python_objects.py,13,17,23,Number of Words;Short Identifier Name
Invoice,basic_examples/python_objects.py,15,6,13,Capitalisation Anomaly
my_company_name,basic_examples/python_objects.py,17,2,17,Number of Words
staticmethod,basic_examples/python_objects.py,20,3,15,Number of Words
get_service_tax_per,basic_examples/python_objects.py,21,6,25,Number of Words
__str__,basic_examples/python_objects.py,25,6,13,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,25,14,18,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,26,11,15,Number of Words;Short Identifier Name
number,basic_examples/python_objects.py,26,16,22,Number of Words;Short Identifier Name
str,basic_examples/python_objects.py,26,31,34,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,26,35,39,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,26,40,43,Number of Words;Short Identifier Name
__init__,basic_examples/python_objects.py,28,6,14,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,28,15,19,Number of Words;Short Identifier Name
kwargs,basic_examples/python_objects.py,28,23,29,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,29,4,8,Number of Words;Short Identifier Name
number,basic_examples/python_objects.py,29,9,15,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,30,4,8,Number of Words;Short Identifier Name
client,basic_examples/python_objects.py,30,9,15,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,31,4,8,Number of Words;Short Identifier Name
date,basic_examples/python_objects.py,31,9,13,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,32,4,8,Number of Words;Short Identifier Name
invoice_items,basic_examples/python_objects.py,32,9,22,Number of Words
add_invoice_item,basic_examples/python_objects.py,34,6,22,Number of Words
self,basic_examples/python_objects.py,34,23,27,Number of Words;Short Identifier Name
invoice_entry,basic_examples/python_objects.py,34,29,42,Number of Words
self,basic_examples/python_objects.py,35,4,8,Number of Words;Short Identifier Name
invoice_items,basic_examples/python_objects.py,35,9,22,Number of Words
append,basic_examples/python_objects.py,35,23,29,Number of Words;Short Identifier Name
invoice_entry,basic_examples/python_objects.py,35,30,43,Number of Words
amt,basic_examples/python_objects.py,37,6,9,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,37,10,14,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,38,4,7,Number of Words;Short Identifier Name
item,basic_examples/python_objects.py,39,8,12,Number of Words;Short Identifier Name
self,basic_examples/python_objects.py,39,16,20,Number of Words;Short Identifier Name
invoice_items,basic_examples/python_objects.py,39,21,34,Number of Words
amt,basic_examples/python_objects.py,40,6,9,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,40,12,15,Number of Words;Short Identifier Name
item,basic_examples/python_objects.py,40,18,22,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,40,23,26,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,41,11,14,Number of Words;Short Identifier Name
invoice,basic_examples/python_objects.py,43,0,7,Number of Words;Short Identifier Name
Invoice,basic_examples/python_objects.py,43,10,17,Capitalisation Anomaly
invoice,basic_examples/python_objects.py,44,0,7,Number of Words;Short Identifier Name
number,basic_examples/python_objects.py,44,8,14,Number of Words;Short Identifier Name
invoice,basic_examples/python_objects.py,45,0,7,Number of Words;Short Identifier Name
client,basic_examples/python_objects.py,45,8,14,Number of Words;Short Identifier Name
invoice,basic_examples/python_objects.py,46,0,7,Number of Words;Short Identifier Name
date,basic_examples/python_objects.py,46,8,12,Number of Words;Short Identifier Name
invoice_item,basic_examples/python_objects.py,48,0,12,Number of Words
InvoiceItem,basic_examples/python_objects.py,48,15,26,Capitalisation Anomaly
text,basic_examples/python_objects.py,48,27,31,Number of Words;Short Identifier Name
amt,basic_examples/python_objects.py,48,52,55,Number of Words;Short Identifier Name
invoice,basic_examples/python_objects.py,49,0,7,Number of Words;Short Identifier Name
add_invoice_item,basic_examples/python_objects.py,49,8,24,Number of Words
invoice_item,basic_examples/python_objects.py,49,25,37,Number of Words
invoice,basic_examples/python_objects.py,51,6,13,Number of Words;Short Identifier Name
os,basic_examples/python_os_module.py,6,7,9,Number of Words;Short Identifier Name
os,basic_examples/python_os_module.py,8,33,35,Number of Words;Short Identifier Name
name,basic_examples/python_os_module.py,8,36,40,Number of Words;Short Identifier Name
os,basic_examples/python_os_module.py,9,25,27,Number of Words;Short Identifier Name
getlogin,basic_examples/python_os_module.py,9,28,36,Number of Words;Short Identifier Name
os,basic_examples/python_os_module.py,10,45,47,Number of Words;Short Identifier Name
getcwd,basic_examples/python_os_module.py,10,48,54,Number of Words;Short Identifier Name
os,basic_examples/python_os_module.py,11,31,33,Number of Words;Short Identifier Name
getenv,basic_examples/python_os_module.py,11,34,40,Number of Words;Short Identifier Name
sys,basic_examples/python_read.py,1,5,8,Number of Words;Short Identifier Name
argv,basic_examples/python_read.py,1,16,20,Number of Words;Short Identifier Name
script,basic_examples/python_read.py,3,0,6,Number of Words;Short Identifier Name
filename,basic_examples/python_read.py,3,8,16,Number of Words;Short Identifier Name
argv,basic_examples/python_read.py,3,19,23,Number of Words;Short Identifier Name
fp,basic_examples/python_read.py,4,0,2,Number of Words;Short Identifier Name
open,basic_examples/python_read.py,4,5,9,Number of Words;Short Identifier Name
filename,basic_examples/python_read.py,4,10,18,Number of Words;Short Identifier Name
fp,basic_examples/python_read.py,5,27,29,Number of Words;Short Identifier Name
fp,basic_examples/python_read.py,6,6,8,Number of Words;Short Identifier Name
read,basic_examples/python_read.py,6,9,13,Number of Words;Short Identifier Name
fp,basic_examples/python_read.py,7,0,2,Number of Words;Short Identifier Name
close,basic_examples/python_read.py,7,3,8,Number of Words;Short Identifier Name
jvm_langs,basic_examples/python_sequences.py,6,0,9,Number of Words
jvm_langs,basic_examples/python_sequences.py,7,37,46,Number of Words
jvm_langs,basic_examples/python_sequences.py,10,49,58,Number of Words
jvm_langs,basic_examples/python_sequences.py,11,39,48,Number of Words
jvm_langs,basic_examples/python_sequences.py,12,40,49,Number of Words
name,basic_examples/python_sequences.py,14,0,4,Number of Words;Short Identifier Name
name,basic_examples/python_sequences.py,15,28,32,Number of Words;Short Identifier Name
add_all,basic_examples/python_star_args_and_kwargs.py,2,4,11,Number of Words;Short Identifier Name
list_of_nums,basic_examples/python_star_args_and_kwargs.py,2,13,25,Number of Words
sum,basic_examples/python_star_args_and_kwargs.py,3,2,5,Number of Words;Short Identifier Name
num,basic_examples/python_star_args_and_kwargs.py,4,6,9,Number of Words;Short Identifier Name
list_of_nums,basic_examples/python_star_args_and_kwargs.py,4,13,25,Number of Words
sum,basic_examples/python_star_args_and_kwargs.py,5,4,7,Number of Words;Short Identifier Name
sum,basic_examples/python_star_args_and_kwargs.py,5,10,13,Number of Words;Short Identifier Name
num,basic_examples/python_star_args_and_kwargs.py,5,16,19,Number of Words;Short Identifier Name
join,basic_examples/python_star_args_and_kwargs.py,6,22,26,Number of Words;Short Identifier Name
str,basic_examples/python_star_args_and_kwargs.py,6,27,30,Number of Words;Short Identifier Name
n,basic_examples/python_star_args_and_kwargs.py,6,31,32,Number of Words
n,basic_examples/python_star_args_and_kwargs.py,6,38,39,Number of Words
list_of_nums,basic_examples/python_star_args_and_kwargs.py,6,43,55,Number of Words
sum,basic_examples/python_star_args_and_kwargs.py,6,65,68,Number of Words;Short Identifier Name
add_all,basic_examples/python_star_args_and_kwargs.py,8,0,7,Number of Words;Short Identifier Name
nums,basic_examples/python_star_args_and_kwargs.py,10,0,4,Number of Words;Short Identifier Name
add_all,basic_examples/python_star_args_and_kwargs.py,11,0,7,Number of Words;Short Identifier Name
nums,basic_examples/python_star_args_and_kwargs.py,11,9,13,Number of Words;Short Identifier Name
nums,basic_examples/python_star_args_and_kwargs.py,13,0,4,Number of Words;Short Identifier Name
add_all,basic_examples/python_star_args_and_kwargs.py,14,0,7,Number of Words;Short Identifier Name
nums,basic_examples/python_star_args_and_kwargs.py,14,9,13,Number of Words;Short Identifier Name
add_all_msg,basic_examples/python_star_args_and_kwargs.py,16,4,15,Number of Words
args,basic_examples/python_star_args_and_kwargs.py,16,17,21,Number of Words;Short Identifier Name
kwargs,basic_examples/python_star_args_and_kwargs.py,16,25,31,Number of Words;Short Identifier Name
kwargs,basic_examples/python_star_args_and_kwargs.py,17,8,14,Number of Words;Short Identifier Name
add_all,basic_examples/python_star_args_and_kwargs.py,18,2,9,Number of Words;Short Identifier Name
args,basic_examples/python_star_args_and_kwargs.py,18,11,15,Number of Words;Short Identifier Name
kwargs,basic_examples/python_star_args_and_kwargs.py,19,8,14,Number of Words;Short Identifier Name
add_all_msg,basic_examples/python_star_args_and_kwargs.py,21,0,11,Number of Words
before,basic_examples/python_star_args_and_kwargs.py,21,18,24,Number of Words;Short Identifier Name
after,basic_examples/python_star_args_and_kwargs.py,21,43,48,Number of Words;Short Identifier Name
string,basic_examples/python_string_interpolation.py,2,5,11,Number of Words;Short Identifier Name
Template,basic_examples/python_string_interpolation.py,2,19,27,Capitalisation Anomaly
greeting,basic_examples/python_string_interpolation.py,4,0,8,Number of Words;Short Identifier Name
name,basic_examples/python_string_interpolation.py,5,0,4,Number of Words;Short Identifier Name
print,basic_examples/python_string_interpolation.py,7,0,5,Number of Words;Short Identifier Name
greeting,basic_examples/python_string_interpolation.py,7,29,37,Number of Words;Short Identifier Name
name,basic_examples/python_string_interpolation.py,7,39,43,Number of Words;Short Identifier Name
locals,basic_examples/python_string_interpolation.py,9,45,51,Number of Words;Short Identifier Name
Template,basic_examples/python_string_interpolation.py,11,6,14,Capitalisation Anomaly
substitute,basic_examples/python_string_interpolation.py,11,47,57,Number of Words
locals,basic_examples/python_string_interpolation.py,11,58,64,Number of Words;Short Identifier Name
greeting,basic_examples/python_strings.py,35,0,8,Number of Words;Short Identifier Name
greeting,basic_examples/python_strings.py,36,32,40,Number of Words;Short Identifier Name
len,basic_examples/python_strings.py,36,51,54,Number of Words;Short Identifier Name
greeting,basic_examples/python_strings.py,36,55,63,Number of Words;Short Identifier Name
greeting,basic_examples/python_strings.py,39,14,22,Number of Words;Short Identifier Name
greeting,basic_examples/python_strings.py,42,3,11,Number of Words;Short Identifier Name
find,basic_examples/python_strings.py,42,12,16,Number of Words;Short Identifier Name
jvm_langs,basic_examples/python_tuples.py,4,0,9,Number of Words
jvm_langs,basic_examples/python_tuples.py,5,6,15,Number of Words
jvm_langs_revised,basic_examples/python_tuples.py,9,0,17,Number of Words
jvm_langs,basic_examples/python_tuples.py,9,51,60,Number of Words
jvm_langs_revised,basic_examples/python_tuples.py,11,6,23,Number of Words
sys,basic_examples/python_write.py,1,5,8,Number of Words;Short Identifier Name
argv,basic_examples/python_write.py,1,16,20,Number of Words;Short Identifier Name
script,basic_examples/python_write.py,3,0,6,Number of Words;Short Identifier Name
filename,basic_examples/python_write.py,3,8,16,Number of Words;Short Identifier Name
argv,basic_examples/python_write.py,3,19,23,Number of Words;Short Identifier Name
fp,basic_examples/python_write.py,4,0,2,Number of Words;Short Identifier Name
open,basic_examples/python_write.py,4,5,9,Number of Words;Short Identifier Name
filename,basic_examples/python_write.py,4,10,18,Number of Words;Short Identifier Name
fp,basic_examples/python_write.py,5,30,32,Number of Words;Short Identifier Name
fp,basic_examples/python_write.py,6,0,2,Number of Words;Short Identifier Name
write,basic_examples/python_write.py,6,3,8,Number of Words;Short Identifier Name
fp,basic_examples/python_write.py,7,0,2,Number of Words;Short Identifier Name
close,basic_examples/python_write.py,7,3,8,Number of Words;Short Identifier Name
os,mini_projects/adaptive_backup.py,3,7,9,Number of Words;Short Identifier Name
time,mini_projects/adaptive_backup.py,4,7,11,Number of Words;Short Identifier Name
tarfile,mini_projects/adaptive_backup.py,5,7,14,Number of Words;Short Identifier Name
bk_src,mini_projects/adaptive_backup.py,8,0,6,Number of Words;Short Identifier Name
bk_dest,mini_projects/adaptive_backup.py,12,0,7,Number of Words;Short Identifier Name
bk_fn,mini_projects/adaptive_backup.py,14,0,5,Number of Words;Short Identifier Name
bk_dest,mini_projects/adaptive_backup.py,14,8,15,Number of Words;Short Identifier Name
time,mini_projects/adaptive_backup.py,14,18,22,Number of Words;Short Identifier Name
strftime,mini_projects/adaptive_backup.py,14,23,31,Number of Words;Short Identifier Name
zip_cmd,mini_projects/adaptive_backup.py,15,0,7,Number of Words;Short Identifier Name
bk_fn,mini_projects/adaptive_backup.py,15,31,36,Number of Words;Short Identifier Name
join,mini_projects/adaptive_backup.py,15,42,46,Number of Words;Short Identifier Name
bk_src,mini_projects/adaptive_backup.py,15,47,53,Number of Words;Short Identifier Name
tar_file,mini_projects/adaptive_backup.py,17,0,8,Number of Words;Short Identifier Name
tarfile,mini_projects/adaptive_backup.py,17,11,18,Number of Words;Short Identifier Name
open,mini_projects/adaptive_backup.py,17,19,23,Number of Words;Short Identifier Name
bk_fn,mini_projects/adaptive_backup.py,17,24,29,Number of Words;Short Identifier Name
file,mini_projects/adaptive_backup.py,18,4,8,Number of Words;Short Identifier Name
bk_src,mini_projects/adaptive_backup.py,18,12,18,Number of Words;Short Identifier Name
tar_file,mini_projects/adaptive_backup.py,19,2,10,Number of Words;Short Identifier Name
add,mini_projects/adaptive_backup.py,19,11,14,Number of Words;Short Identifier Name
file,mini_projects/adaptive_backup.py,19,15,19,Number of Words;Short Identifier Name
tar_file,mini_projects/adaptive_backup.py,20,0,8,Number of Words;Short Identifier Name
close,mini_projects/adaptive_backup.py,20,9,14,Number of Words;Short Identifier Name
unittest,tdd/iostubbing/all_tests.py,0,7,15,Number of Words;Short Identifier Name
test_write_user_details,tdd/iostubbing/all_tests.py,1,7,30,Number of Words
test_write_user_details_istub,tdd/iostubbing/all_tests.py,2,7,36,Number of Words
suite1,tdd/iostubbing/all_tests.py,4,0,6,Number of Words;Short Identifier Name
unittest,tdd/iostubbing/all_tests.py,4,9,17,Number of Words;Short Identifier Name
TestLoader,tdd/iostubbing/all_tests.py,4,18,28,Capitalisation Anomaly
loadTestsFromTestCase,tdd/iostubbing/all_tests.py,4,31,52,Excessive Words;Number of Words
test_write_user_details,tdd/iostubbing/all_tests.py,4,53,76,Number of Words
TestUserDetails,tdd/iostubbing/all_tests.py,4,77,92,Capitalisation Anomaly
suite1,tdd/iostubbing/all_tests.py,5,0,6,Number of Words;Short Identifier Name
addTests,tdd/iostubbing/all_tests.py,5,7,15,Short Identifier Name
unittest,tdd/iostubbing/all_tests.py,5,16,24,Number of Words;Short Identifier Name
TestLoader,tdd/iostubbing/all_tests.py,5,25,35,Capitalisation Anomaly
loadTestsFromTestCase,tdd/iostubbing/all_tests.py,5,38,59,Excessive Words;Number of Words
test_write_user_details_istub,tdd/iostubbing/all_tests.py,5,60,89,Number of Words
TestUserDetails,tdd/iostubbing/all_tests.py,5,90,105,Capitalisation Anomaly
unittest,tdd/iostubbing/all_tests.py,7,0,8,Number of Words;Short Identifier Name
TextTestRunner,tdd/iostubbing/all_tests.py,7,9,23,Capitalisation Anomaly
verbosity,tdd/iostubbing/all_tests.py,7,24,33,Number of Words
run,tdd/iostubbing/all_tests.py,7,37,40,Number of Words;Short Identifier Name
suite1,tdd/iostubbing/all_tests.py,7,41,47,Number of Words;Short Identifier Name
unittest,tdd/iostubbing/test_write_user_details.py,0,7,15,Number of Words;Short Identifier Name
TestUserDetails,tdd/iostubbing/test_write_user_details.py,2,6,21,Capitalisation Anomaly
unittest,tdd/iostubbing/test_write_user_details.py,2,22,30,Number of Words;Short Identifier Name
TestCase,tdd/iostubbing/test_write_user_details.py,2,31,39,Capitalisation Anomaly
setUp,tdd/iostubbing/test_write_user_details.py,4,8,13,Short Identifier Name
self,tdd/iostubbing/test_write_user_details.py,4,14,18,Number of Words;Short Identifier Name
super,tdd/iostubbing/test_write_user_details.py,5,8,13,Number of Words;Short Identifier Name
TestUserDetails,tdd/iostubbing/test_write_user_details.py,5,14,29,Capitalisation Anomaly
self,tdd/iostubbing/test_write_user_details.py,5,31,35,Number of Words;Short Identifier Name
setUp,tdd/iostubbing/test_write_user_details.py,5,37,42,Short Identifier Name
tearDown,tdd/iostubbing/test_write_user_details.py,8,8,16,Short Identifier Name
self,tdd/iostubbing/test_write_user_details.py,8,17,21,Number of Words;Short Identifier Name
super,tdd/iostubbing/test_write_user_details.py,9,8,13,Number of Words;Short Identifier Name
TestUserDetails,tdd/iostubbing/test_write_user_details.py,9,14,29,Capitalisation Anomaly
self,tdd/iostubbing/test_write_user_details.py,9,31,35,Number of Words;Short Identifier Name
tearDown,tdd/iostubbing/test_write_user_details.py,9,37,45,Short Identifier Name
test_output_file_contents,tdd/iostubbing/test_write_user_details.py,12,8,33,Number of Words
self,tdd/iostubbing/test_write_user_details.py,12,34,38,Number of Words;Short Identifier Name
fp,tdd/iostubbing/test_write_user_details.py,13,8,10,Number of Words;Short Identifier Name
open,tdd/iostubbing/test_write_user_details.py,13,13,17,Number of Words;Short Identifier Name
name,tdd/iostubbing/test_write_user_details.py,14,8,12,Number of Words;Short Identifier Name
fp,tdd/iostubbing/test_write_user_details.py,14,15,17,Number of Words;Short Identifier Name
readline,tdd/iostubbing/test_write_user_details.py,14,18,26,Number of Words;Short Identifier Name
age,tdd/iostubbing/test_write_user_details.py,15,8,11,Number of Words;Short Identifier Name
fp,tdd/iostubbing/test_write_user_details.py,15,14,16,Number of Words;Short Identifier Name
readline,tdd/iostubbing/test_write_user_details.py,15,17,25,Number of Words;Short Identifier Name
city,tdd/iostubbing/test_write_user_details.py,16,8,12,Number of Words;Short Identifier Name
fp,tdd/iostubbing/test_write_user_details.py,16,15,17,Number of Words;Short Identifier Name
readline,tdd/iostubbing/test_write_user_details.py,16,18,26,Number of Words;Short Identifier Name
self,tdd/iostubbing/test_write_user_details.py,17,8,12,Number of Words;Short Identifier Name
name,tdd/iostubbing/test_write_user_details.py,17,25,29,Number of Words;Short Identifier Name
len,tdd/iostubbing/test_write_user_details.py,17,32,35,Number of Words;Short Identifier Name
name,tdd/iostubbing/test_write_user_details.py,17,36,40,Number of Words;Short Identifier Name
self,tdd/iostubbing/test_write_user_details.py,18,8,12,Number of Words;Short Identifier Name
age,tdd/iostubbing/test_write_user_details.py,18,25,28,Number of Words;Short Identifier Name
len,tdd/iostubbing/test_write_user_details.py,18,31,34,Number of Words;Short Identifier Name
age,tdd/iostubbing/test_write_user_details.py,18,35,38,Number of Words;Short Identifier Name
self,tdd/iostubbing/test_write_user_details.py,19,8,12,Number of Words;Short Identifier Name
city,tdd/iostubbing/test_write_user_details.py,19,25,29,Number of Words;Short Identifier Name
len,tdd/iostubbing/test_write_user_details.py,19,32,35,Number of Words;Short Identifier Name
city,tdd/iostubbing/test_write_user_details.py,19,36,40,Number of Words;Short Identifier Name
__name__,tdd/iostubbing/test_write_user_details.py,21,3,11,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
unittest,tdd/iostubbing/test_write_user_details.py,22,4,12,Number of Words;Short Identifier Name
main,tdd/iostubbing/test_write_user_details.py,22,13,17,Number of Words;Short Identifier Name
unittest,tdd/iostubbing/test_write_user_details_iostub.py,0,7,15,Number of Words;Short Identifier Name
write_user_details,tdd/iostubbing/test_write_user_details_iostub.py,1,7,25,Number of Words
sys,tdd/iostubbing/test_write_user_details_iostub.py,2,7,10,Number of Words;Short Identifier Name
gen_open_stub,tdd/iostubbing/test_write_user_details_iostub.py,4,4,17,Number of Words
output_stub,tdd/iostubbing/test_write_user_details_iostub.py,4,18,29,Number of Words
open,tdd/iostubbing/test_write_user_details_iostub.py,5,8,12,Number of Words;Short Identifier Name
fpath,tdd/iostubbing/test_write_user_details_iostub.py,5,13,18,Number of Words;Short Identifier Name
mode,tdd/iostubbing/test_write_user_details_iostub.py,5,20,24,Number of Words;Short Identifier Name
output_stub,tdd/iostubbing/test_write_user_details_iostub.py,6,15,26,Number of Words
open,tdd/iostubbing/test_write_user_details_iostub.py,7,11,15,Number of Words;Short Identifier Name
InputStub,tdd/iostubbing/test_write_user_details_iostub.py,9,6,15,Capitalisation Anomaly
object,tdd/iostubbing/test_write_user_details_iostub.py,9,16,22,Number of Words;Short Identifier Name
__init__,tdd/iostubbing/test_write_user_details_iostub.py,10,8,16,Consecutive Underscores;External Underscores;Number of Words;Short Identifier Name
self,tdd/iostubbing/test_write_user_details_iostub.py,10,17,21,Number of Words;Short Identifier Name
values,tdd/iostubbing/test_write_user_details_iostub.py,10,23,29,Number of Words;Short Identifier Name
self,tdd/iostubbing/test_write_user_details_iostub.py,11,8,12,Number of Words;Short Identifier Name
values,tdd/iostubbing/test_write_user_details_iostub.py,11,13,19,Number of Words;Short Identifier Name
values,tdd/iostubbing/test_write_user_details_iostub.py,11,22,28,Number of Words;Short Identifier Name
self,tdd/iostubbing/test_write_user_details_iostub.py,12,8,12,Number of Words;Short Identifier Name
